Employee_ID,Name,Age,Gender,Department,Job_Role,Join_Date,Salary,Performance_Rating,Experience_Years,Attrition,Exit_Date,Attrition_Reason
85,Alicia Delacruz,45,Female,Finance,Engineer,2023-10-21,44361,3,11,No,,
86,Eric Wright,33,Male,HR,Executive,2024-01-29,68863,3,14,No,,
87,Terry Johnson,53,Male,Finance,Manager,2025-02-28,91663,3,8,Yes,2026-02-24,Work Pressure
88,Mario Hill,38,Female,HR,Executive,2026-03-20,82296,1,6,Yes,2026-03-26,Better Offer
89,Kevin Perkins,41,Male,IT,Analyst,2023-07-13,110609,3,8,No,,
90,Lindsay Shaw,52,Male,IT,Engineer,2022-05-15,65826,2,6,No,,
91,Tabitha Richardson,26,Male,Finance,Engineer,2024-10-14,103400,5,5,Yes,2025-12-16,Work Pressure
92,Todd Wilkins,47,Male,IT,Manager,2022-04-19,57915,3,12,No,,
93,Peter James,44,Male,Sales,Engineer,2023-08-08,84884,4,1,No,,
94,Aaron Sutton,27,Female,Sales,Engineer,2024-11-14,103792,2,5,Yes,2026-01-31,Low Salary
95,Shelly Smith,40,Male,Finance,Engineer,2024-09-21,80118,4,13,No,,
96,Benjamin Nguyen,35,Female,Finance,Analyst,2022-12-27,99683,1,15,No,,
97,Luis Wright,40,Male,HR,Analyst,2023-11-03,25435,4,3,No,,
98,Dr. Sarah Snyder,22,Male,Finance,Executive,2021-11-13,66729,2,7,Yes,2025-11-09,Work Pressure
99,Elizabeth Torres,27,Male,Sales,Engineer,2022-11-02,115311,1,9,Yes,2023-10-24,Low Salary
100,Debra Miller,42,Male,HR,Analyst,2024-03-10,33658,3,8,No,,
101,Stephanie Patel,33,Female,Sales,Executive,2021-10-15,71751,2,1,No,,
102,Samantha Walter,46,Male,IT,Engineer,2025-01-26,113450,4,14,Yes,2025-11-15,Work Pressure
103,Michael Hansen,27,Female,Finance,Executive,2023-06-22,64529,2,8,No,,
104,Erica Kim,44,Female,IT,Analyst,2023-08-09,55704,5,4,No,,
105,Lisa Perez,38,Female,Finance,Manager,2025-08-30,32785,5,4,Yes,2026-03-19,Work Pressure
106,Kathy Ellison,31,Female,Finance,Analyst,2024-08-18,112350,3,5,Yes,2025-09-03,Work Pressure
107,Thomas Lewis,39,Male,Sales,Engineer,2024-01-06,88974,1,9,No,,
108,Michele Lara,46,Female,IT,Manager,2021-06-20,86344,1,15,Yes,2025-01-06,Work Pressure
109,William Owens,38,Female,IT,Engineer,2024-01-03,89265,5,5,No,,
110,Alicia Winters,32,Male,HR,Executive,2025-11-01,110939,2,14,No,,
111,Denise Mcmahon,24,Male,Finance,Manager,2024-04-04,52075,3,7,No,,
112,Terry Jones,39,Female,Sales,Manager,2025-06-07,81784,2,4,No,,
113,Robert Hamilton,50,Male,IT,Executive,2021-09-19,35061,5,2,Yes,2023-11-27,Low Salary
114,Jonathan Thompson,43,Male,IT,Executive,2024-10-31,75617,2,15,No,,
115,Eric Braun,27,Male,Finance,Executive,2023-12-17,111978,5,11,No,,
116,Rhonda Hawkins,22,Female,Sales,Manager,2022-04-27,60982,4,10,Yes,2025-01-17,Low Salary
117,Michael Perez,49,Female,HR,Analyst,2026-02-03,113323,3,12,No,,
118,Amber Ford,37,Male,HR,Manager,2024-10-10,57059,2,13,No,,
119,John Oliver,35,Female,Sales,Manager,2026-02-03,107194,3,11,No,,
120,Nicole Wilson,35,Female,Sales,Manager,2021-05-27,74154,1,2,No,,
121,Samuel Brown,54,Male,IT,Engineer,2021-05-29,30126,3,3,Yes,2021-08-13,Better Offer
122,Tim Hanson,36,Female,HR,Executive,2024-08-06,33023,2,2,No,,
123,Sandra Jones,25,Male,Sales,Engineer,2022-10-15,45369,5,14,No,,
124,Christina Maldonado,24,Male,Sales,Manager,2023-09-29,59428,1,4,No,,
125,Justin Schultz,48,Female,IT,Engineer,2024-02-20,53237,5,10,No,,
126,Kevin Guzman,51,Male,IT,Analyst,2023-11-01,29193,3,1,No,,
127,Brandon Jones,33,Female,HR,Executive,2024-12-31,72050,1,5,Yes,2025-07-18,Low Salary
128,Melanie Scott,54,Male,IT,Engineer,2025-11-08,32660,1,3,No,,
129,Mary Elliott,46,Female,IT,Engineer,2021-12-14,28682,4,14,No,,
130,Edward Knight,28,Male,IT,Engineer,2022-04-09,58131,1,4,No,,
131,James Howard,47,Female,IT,Engineer,2024-05-08,46698,5,10,No,,
132,Kyle Crawford,52,Male,HR,Manager,2024-06-13,47400,5,9,No,,
133,Aaron Scott,48,Female,IT,Manager,2022-05-16,91852,5,4,Yes,2023-07-24,Work Pressure
134,Brandon Wood DDS,44,Male,IT,Executive,2025-09-26,80361,3,5,No,,
135,Lindsey Smith,25,Male,Sales,Manager,2022-03-16,99926,2,10,No,,
136,Lisa Mayer,26,Male,HR,Analyst,2021-07-19,85166,2,7,No,,
137,Erin Grant,51,Male,IT,Engineer,2024-03-17,38378,2,10,No,,
138,Gina Glass MD,35,Male,HR,Manager,2023-03-13,74439,2,15,Yes,2024-06-11,Work Pressure
139,Jerry Cruz,43,Male,HR,Manager,2022-01-31,62459,1,13,No,,
140,Calvin Miller,39,Male,Sales,Manager,2026-02-06,68778,5,1,No,,
141,Steven Jackson,22,Female,HR,Executive,2023-06-22,80038,5,13,No,,
142,Nicole Klein,41,Female,Sales,Manager,2023-02-03,116209,4,11,No,,
143,John Farmer,34,Male,HR,Manager,2023-02-13,107892,4,3,No,,
144,Eric Flowers,51,Female,IT,Executive,2023-09-03,111054,1,14,No,,
145,Stephanie Joyce,51,Female,Sales,Engineer,2025-01-11,59002,2,3,Yes,2026-01-16,Better Offer
146,Marie Bowman,52,Male,Finance,Engineer,2026-04-22,90598,4,13,No,,
147,Erica Jones,26,Male,IT,Engineer,2024-09-01,56818,1,4,No,,
148,Jessica Fernandez,22,Female,IT,Engineer,2025-01-23,113187,5,3,No,,
149,Cassandra Martinez,26,Female,IT,Manager,2025-12-23,42939,4,8,No,,
150,Taylor Harris,42,Female,Finance,Engineer,2023-08-09,97066,1,14,Yes,2024-08-16,Low Salary
151,Brent Mills,55,Male,IT,Executive,2025-03-14,67855,5,8,No,,
152,Aaron Anderson,24,Male,Finance,Executive,2025-04-04,94187,1,10,Yes,2026-04-07,Low Salary
153,Kendra Benjamin,39,Female,Finance,Manager,2025-08-31,54209,1,1,No,,
154,Daniel Conner,38,Female,Finance,Manager,2022-01-11,91089,3,12,No,,
155,William Clark,32,Male,IT,Analyst,2024-09-08,44111,1,7,No,,
156,Carrie Brandt,39,Female,Finance,Executive,2024-04-07,29074,5,12,No,,
157,Samantha Aguilar,40,Female,Sales,Analyst,2024-10-09,90838,2,7,Yes,2025-10-14,Low Salary
158,Shane Carey,40,Female,Sales,Executive,2023-02-27,41757,2,4,No,,
159,Jeffery Lewis,24,Male,IT,Executive,2021-09-25,32145,3,4,Yes,2026-01-19,Work Pressure
160,Timothy Johnson,34,Male,HR,Executive,2023-01-08,25035,3,13,Yes,2025-07-08,Better Offer
161,Taylor Jenkins,47,Female,Sales,Engineer,2024-09-13,32301,1,10,Yes,2026-01-25,Better Offer
162,Diane Watson,52,Male,HR,Executive,2024-02-28,43868,5,10,No,,
163,Cheyenne Liu,32,Male,Sales,Executive,2022-01-07,81466,3,15,No,,
164,Joshua Callahan,25,Female,Finance,Engineer,2023-12-23,88233,3,1,No,,
165,Randy Rivera,51,Male,IT,Executive,2021-04-29,76521,3,14,No,,
166,Christopher Valdez,31,Female,IT,Manager,2024-07-21,48927,2,4,No,,
167,Marissa Miller,23,Male,IT,Manager,2022-04-23,31248,5,13,No,,
168,Denise Cooper,27,Male,Finance,Analyst,2025-11-27,52591,3,1,Yes,2025-12-31,Low Salary
169,Eric Green,37,Male,IT,Engineer,2023-05-21,37570,2,5,No,,
170,Steven Garner,31,Female,Finance,Engineer,2025-03-26,72856,1,14,No,,
171,David Bolton,29,Male,Sales,Manager,2021-09-07,82141,3,13,Yes,2025-11-08,Low Salary
172,Tracy Johnson,48,Male,HR,Executive,2024-05-30,32824,4,9,Yes,2025-07-03,Low Salary
173,Emily Moreno,31,Male,Sales,Manager,2025-04-05,39020,3,15,Yes,2025-09-24,Low Salary
174,Erin Carpenter,28,Male,HR,Analyst,2025-07-20,31009,2,10,No,,
175,Charles Kirby,42,Male,Sales,Analyst,2024-12-16,31349,3,1,No,,
176,Peter Davis,34,Female,Sales,Engineer,2022-04-25,53693,3,14,No,,
177,Vicki Molina,46,Female,HR,Engineer,2025-06-03,77494,1,4,No,,
178,Andrea Brewer,53,Male,HR,Engineer,2021-05-14,85014,2,9,No,,
179,Jeff Olson,35,Male,IT,Engineer,2022-07-04,27193,1,10,No,,
180,Brent Nelson,46,Male,Sales,Executive,2026-02-01,97122,3,8,No,,
181,Sara Wagner,25,Female,IT,Executive,2026-03-17,84500,5,14,No,,
182,Robert Mullins,24,Female,IT,Executive,2023-04-12,114343,3,10,No,,
183,Curtis Greer,36,Male,HR,Analyst,2021-12-07,46341,4,14,No,,
184,Lynn Torres,30,Male,Finance,Executive,2024-06-17,71967,5,10,No,,
185,Brandy Valenzuela,48,Female,Sales,Analyst,2025-06-10,103190,3,14,No,,
186,Rebecca Burton,47,Female,HR,Manager,2025-05-15,38714,3,10,No,,
187,Emily Blackburn,51,Female,HR,Engineer,2025-10-05,101869,3,15,No,,
188,Veronica Rivas,52,Female,Sales,Manager,2023-12-04,39703,2,6,No,,
189,Laurie Robinson,23,Male,HR,Analyst,2021-07-24,53110,4,9,No,,
190,William Harrison,47,Male,HR,Manager,2022-12-16,75076,5,7,No,,
191,Andrew Walker,25,Male,Finance,Manager,2024-02-04,96727,1,12,Yes,2025-03-01,Better Offer
192,Louis Ewing,39,Male,Finance,Executive,2022-03-04,79307,1,15,No,,
193,Gary Thomas,22,Female,Sales,Executive,2022-06-15,71110,5,6,No,,
194,Gregory Henderson,38,Female,Sales,Analyst,2023-12-03,77453,1,2,No,,
195,Alicia Alvarez,52,Male,IT,Engineer,2022-10-14,79594,5,6,No,,
196,Michelle Hunter,43,Male,Finance,Manager,2025-05-15,53174,4,10,No,,
197,Daniel Hawkins,41,Male,Sales,Analyst,2026-01-25,80770,5,5,Yes,2026-03-03,Work Pressure
198,Melissa Brewer,47,Female,IT,Engineer,2024-11-28,59496,3,11,Yes,2025-12-04,Better Offer
199,Shawn Tucker,25,Male,Sales,Executive,2024-12-24,33991,4,14,No,,
200,Marcus Cochran,26,Female,Sales,Analyst,2024-02-22,107350,2,4,No,,
201,Zachary Burke,31,Female,IT,Engineer,2021-12-01,53770,1,5,Yes,2024-12-25,Better Offer
202,Jamie Daniel,52,Male,HR,Executive,2025-11-22,78872,5,11,No,,
203,Kayla Bean,31,Male,IT,Manager,2024-01-27,71264,5,1,No,,
204,Dr. Brandi Smith,23,Female,Sales,Analyst,2025-04-13,47778,2,14,Yes,2025-07-22,Work Pressure
205,Mark Wood,54,Male,HR,Executive,2021-05-18,37702,3,15,No,,
206,Mary Davis,30,Female,IT,Analyst,2025-11-10,99873,5,2,No,,
207,Lori Casey,47,Female,Finance,Analyst,2023-06-24,73193,5,7,No,,
208,Amy Gomez,33,Male,Finance,Executive,2025-08-31,84196,2,12,Yes,2026-04-27,Better Offer
209,Zachary Torres,38,Female,IT,Executive,2023-01-23,62222,3,8,Yes,2023-09-22,Work Pressure
210,Brandon Hernandez,34,Male,Sales,Analyst,2023-08-09,114157,5,2,No,,
211,Brian Johnson PhD,37,Male,IT,Manager,2023-02-13,30224,1,2,No,,
212,Jack Olson,41,Female,Sales,Analyst,2021-11-06,32563,1,3,Yes,2024-11-11,Low Salary
213,Amber Maxwell,48,Male,Sales,Analyst,2024-06-01,30893,1,2,Yes,2025-07-01,Low Salary
214,Alicia Howell,33,Female,Finance,Manager,2024-03-29,88216,5,12,Yes,2024-05-07,Better Offer
215,Carla Chandler,25,Male,Finance,Executive,2024-05-09,110051,2,15,No,,
216,Jennifer Delgado,23,Female,Finance,Engineer,2023-06-15,89481,4,11,No,,
217,Michelle Murphy,38,Female,Finance,Executive,2025-08-14,100734,2,3,No,,
218,Cristina Yu,44,Female,Sales,Analyst,2022-12-22,43261,1,7,No,,
219,Jared Wilkinson,52,Female,IT,Manager,2023-09-08,33817,4,13,No,,
220,Stephanie Ballard,38,Female,IT,Executive,2023-11-11,29906,4,3,No,,
221,Jennifer Walker,22,Male,Sales,Analyst,2021-06-08,44152,5,5,No,,
222,David Fleming,36,Female,HR,Engineer,2025-11-13,69964,3,9,No,,
223,Leonard Parks,45,Female,Sales,Executive,2022-05-16,37463,2,8,No,,
224,Justin Carr,35,Male,Sales,Engineer,2024-12-15,97284,2,6,Yes,2026-04-23,Work Pressure
225,Stacy Williams,48,Male,IT,Executive,2025-10-01,34639,4,13,No,,
226,Lisa Huffman,34,Female,IT,Analyst,2022-08-25,47913,2,10,No,,
227,Jeff Paul,51,Female,IT,Analyst,2025-09-12,36954,3,7,No,,
228,Victoria Reed,44,Female,HR,Engineer,2024-02-08,90593,2,11,Yes,2025-09-13,Work Pressure
229,Mark Blackburn,54,Female,Sales,Engineer,2023-06-03,54735,3,10,No,,
230,Taylor Newman,55,Female,Finance,Engineer,2023-02-10,70560,2,11,No,,
231,Lisa Phillips,43,Male,IT,Engineer,2025-03-18,81082,3,11,No,,
232,Laura Rogers,39,Male,Sales,Analyst,2022-12-25,89954,5,4,No,,
233,Renee Schultz,50,Male,HR,Engineer,2022-09-29,64874,4,4,Yes,2023-11-01,Better Offer
234,Melissa Crawford,32,Male,IT,Executive,2022-07-09,28934,1,5,Yes,2025-01-04,Work Pressure
235,Thomas Mora MD,24,Male,HR,Manager,2021-10-27,111904,5,11,No,,
236,Charles Jarvis,26,Female,HR,Engineer,2025-07-26,74942,5,13,Yes,2026-02-24,Work Pressure
237,Mason Clark,43,Male,IT,Executive,2021-08-06,54622,2,11,Yes,2026-03-04,Better Offer
238,David Palmer,53,Male,IT,Engineer,2022-03-01,111727,5,4,No,,
239,Melissa Gonzalez,51,Female,Finance,Engineer,2022-12-14,37920,3,10,No,,
240,Jeffrey Palmer,44,Female,Sales,Executive,2023-06-29,26690,1,14,Yes,2026-02-18,Low Salary
241,Stephanie White,51,Male,Finance,Manager,2023-06-20,79282,3,12,No,,
242,Samuel Rodgers PhD,29,Male,IT,Manager,2022-01-05,91922,5,10,Yes,2023-12-29,Low Salary
243,Tammy Cook,52,Male,Finance,Executive,2022-02-17,75182,5,1,Yes,2024-03-04,Work Pressure
244,Timothy Johnson,30,Male,Sales,Engineer,2025-06-09,77281,4,15,No,,
245,Jennifer Parker,46,Female,IT,Analyst,2023-01-20,32858,4,6,No,,
246,Charlene Cohen,28,Female,Finance,Executive,2025-01-21,109378,5,14,No,,
247,Anthony Farmer,41,Male,HR,Analyst,2025-04-22,114337,5,5,No,,
248,Dr. Carmen Turner,40,Female,Finance,Executive,2023-04-18,60442,5,12,Yes,2025-04-12,Better Offer
249,Kevin Perez,41,Female,HR,Executive,2022-08-22,69781,3,2,No,,
250,Jon Lewis,33,Male,IT,Engineer,2021-09-16,94752,2,10,No,,
251,Dr. Erica Stevens MD,36,Female,Sales,Analyst,2024-06-22,42662,5,1,No,,
252,Frank Conley,53,Male,Sales,Executive,2023-06-29,82985,5,14,No,,
253,Raymond Peck,53,Female,Sales,Analyst,2025-02-21,46255,1,2,No,,
254,Kimberly Perkins,50,Female,IT,Engineer,2024-07-03,52729,2,8,No,,
255,Ashley Gray,37,Female,Finance,Analyst,2024-05-05,49698,5,8,Yes,2025-06-03,Low Salary
256,Stacey Macias,24,Male,HR,Engineer,2022-02-04,38268,1,8,No,,
257,Lisa Lang,36,Female,Sales,Engineer,2024-05-01,36854,4,9,No,,
258,Jennifer Rios,27,Male,IT,Manager,2022-10-16,119172,4,6,No,,
259,Daniel Diaz,49,Male,HR,Engineer,2023-03-07,94617,3,14,No,,
260,Tyrone Marshall,50,Female,HR,Manager,2023-05-16,83350,3,13,No,,
261,Jennifer Smith,51,Female,HR,Engineer,2021-11-16,43325,1,2,No,,
262,Angelica Carney,22,Male,HR,Manager,2024-04-02,108083,4,3,No,,
263,Sheila Mason,33,Female,IT,Manager,2022-08-15,54302,2,9,No,,
264,Vicki French,47,Female,HR,Manager,2026-02-11,25423,2,7,No,,
265,Kevin Erickson,25,Female,Finance,Executive,2021-09-25,41578,1,1,No,,
266,Amanda White,47,Female,Sales,Manager,2023-11-06,105263,1,3,No,,
267,Victoria Choi,43,Male,IT,Analyst,2023-11-03,116586,2,11,No,,
268,Elizabeth Chapman,37,Male,IT,Engineer,2023-01-12,42935,1,7,No,,
269,John Miller,25,Female,HR,Engineer,2021-07-03,80683,1,8,No,,
270,Douglas Reed,48,Female,Sales,Analyst,2024-05-30,107857,2,11,No,,
271,William Webster,35,Female,Finance,Analyst,2024-08-17,32310,4,1,No,,
272,Christopher Gentry,38,Female,Finance,Executive,2025-05-07,51811,3,4,No,,
273,Candice Woods,54,Male,Finance,Analyst,2022-02-03,82527,4,6,No,,
274,Sandra Cooper,23,Male,HR,Manager,2022-11-13,97798,1,14,No,,
275,James Williams,34,Female,HR,Executive,2026-03-23,52733,4,11,No,,
276,Jennifer Waters,34,Male,Finance,Analyst,2023-05-24,77748,3,1,Yes,2025-05-11,Low Salary
277,Kelly Young,41,Female,Sales,Manager,2022-09-06,70431,5,13,No,,
278,Kim Haley,41,Male,Sales,Analyst,2025-07-14,112990,4,7,No,,
279,Michael Thompson,52,Male,Sales,Executive,2024-02-03,93651,1,13,No,,
280,Jo Frey,53,Female,HR,Engineer,2025-12-29,60269,5,8,No,,
281,Michelle Diaz,36,Female,IT,Engineer,2023-04-14,118372,1,12,No,,
282,Jessica Vaughn,40,Female,Finance,Manager,2026-02-25,85135,5,10,Yes,2026-02-25,Low Salary
283,Kelly Rowe,34,Male,Finance,Manager,2023-04-26,94123,1,4,No,,
284,Megan Mullins,30,Male,Finance,Manager,2023-07-29,62746,2,11,Yes,2024-04-04,Better Offer
285,Maria Cunningham,42,Male,HR,Analyst,2024-02-17,92204,2,2,No,,
286,Julie Ryan,44,Male,Finance,Engineer,2025-06-26,63151,4,11,Yes,2025-08-29,Low Salary
287,Priscilla Kim,25,Male,Finance,Executive,2023-08-21,91665,2,4,No,,
288,Ashley Anderson,46,Male,Sales,Executive,2025-02-22,114321,1,6,Yes,2025-04-05,Low Salary
289,Jeffrey Delacruz,31,Male,HR,Analyst,2024-03-21,68002,3,9,Yes,2024-12-21,Better Offer
290,David Reynolds MD,39,Female,Sales,Engineer,2022-10-20,113034,1,2,Yes,2025-10-27,Better Offer
291,Debra Garza,25,Female,Finance,Analyst,2024-03-11,64299,5,15,No,,
292,Penny Torres,42,Male,Finance,Engineer,2023-07-14,34658,1,11,No,,
293,Rose Marsh,32,Female,Sales,Manager,2024-01-12,109473,3,2,No,,
294,Jason Rivas,45,Male,HR,Analyst,2025-04-14,88744,1,12,Yes,2025-06-16,Better Offer
295,Austin Phillips,46,Male,IT,Engineer,2024-11-07,59613,2,9,Yes,2024-12-07,Low Salary
296,Laura Jones,50,Female,Finance,Executive,2023-03-09,73329,5,3,No,,
297,Roger Green,37,Male,HR,Executive,2024-09-12,63570,1,4,No,,
298,Jesse Hernandez,47,Female,Sales,Executive,2024-05-30,107860,4,6,No,,
299,Erik Brooks,25,Female,Finance,Executive,2025-12-17,84001,1,12,No,,
300,David Sharp,36,Male,HR,Analyst,2024-06-04,62822,1,7,No,,
301,Jamie Hess,30,Male,HR,Manager,2023-02-21,99665,5,9,No,,
302,Victoria Fitzgerald,25,Male,Sales,Analyst,2025-08-05,55020,4,6,Yes,2025-12-09,Work Pressure
303,Michael Green,22,Male,Sales,Engineer,2023-09-04,118870,1,10,No,,
304,Courtney Silva,33,Female,Sales,Analyst,2024-03-29,107825,5,13,Yes,2025-05-06,Work Pressure
305,Eric Townsend,22,Female,HR,Executive,2022-12-01,72705,2,9,Yes,2025-05-28,Better Offer
306,Christian Rose,34,Male,HR,Executive,2024-09-26,99784,3,1,Yes,2025-02-19,Work Pressure
307,Brian Liu,25,Female,Finance,Manager,2023-07-04,86969,2,7,No,,
